0.46936,0.47676,0.53378,0.55237,0.46809,0.47481,0.51346,0.55615,0.51525,0.51578,0.56241,0.51061,0.50767,0.5398,0.51042,0.56327,1
0.48676,0.48526,0.57586,0.42712,0.48454,0.52249,0.4662,0.54369,0.54817,0.5142,0.6142,0.51753,0.54627,0.54244,0.51776,0.5463,2
0.51055,0.43431,0.50388,0.47543,0.48552,0.53822,0.53604,0.50459,0.49004,0.52133,0.49031,0.54965,0.50781,0.45803,0.51541,0.52268,2
0.5508,0.50913,0.48243,0.59747,0.54493,0.55456,0.57028,0.47401,0.56337,0.40966,0.53002,0.56442,0.49904,0.51981,0.47835,0.58519,2
0.50634,0.42813,0.49073,0.39139,0.52074,0.52716,0.48843,0.48736,0.53869,0.53624,0.52912,0.53298,0.45514,0.52136,0.42641,0.54684,2
0.53546,0.49325,0.48378,0.40004,0.48225,0.53425,0.46967,0.49925,0.58521,0.45241,0.48588,0.502,0.45879,0.4393,0.47956,0.48854,2
0.53307,0.5378,0.52724,0.45178,0.52192,0.53606,0.4978,0.49124,0.57368,0.47388,0.45568,0.51811,0.56105,0.46481,0.55355,0.59805,3
0.55485,0.52978,0.46947,0.51872,0.59892,0.55135,0.52893,0.55969,0.47519,0.56049,0.56243,0.59143,0.50309,0.54731,0.47252,0.60428,3
0.58992,0.5652,0.51374,0.59193,0.54178,0.56627,0.57128,0.50225,0.561,0.56999,0.55127,0.54675,0.46142,0.51033,0.50229,0.49985,3
0.47509,0.48398,0.47342,0.44843,0.57066,0.48293,0.5254,0.50987,0.48988,0.50426,0.51594,0.46192,0.51501,0.58467,0.46307,0.55026,3
0.48763,0.48469,0.4614,0.41236,0.47318,0.50099,0.52454,0.50251,0.64862,0.29993,0.40111,0.48965,0.48085,0.43938,0.46829,0.43845,3
0.51315,0.53118,0.54992,0.57391,0.49819,0.54577,0.47039,0.5206,0.48317,0.46506,0.50271,0.52794,0.49444,0.50969,0.5421,0.56115,4
0.4889,0.45441,0.48151,0.60158,0.48555,0.46912,0.48085,0.54665,0.53759,0.56197,0.56132,0.52029,0.51595,0.51874,0.52181,0.48488,4
0.55436,0.60886,0.47119,0.44437,0.46625,0.50483,0.46169,0.50019,0.53859,0.60933,0.59863,0.52438,0.50181,0.51332,0.53544,0.47177,4
